Date,Open,High,Low,Close,Volume
09/18/2024,"45.75","46.14","45.11","45.28","6,325,447"
09/17/2024,"46.42","46.98","45.52","45.74","5,190,928"
09/16/2024,"45.82","47.50","45.64","46.24","8,226,591"
09/13/2024,"45.44","46.12","45.28","45.87","4,713,434"
09/12/2024,"45.01","46.00","44.53","45.41","5,292,237"
09/11/2024,"44.37","45.07","43.84","44.99","6,618,571"
09/10/2024,"43.83","44.90","43.65","44.90","4,463,806"
09/09/2024,"44.12","45.00","43.20","43.62","6,759,306"
09/06/2024,"44.80","44.96","42.33","43.64","6,198,955"
09/05/2024,"43.06","43.80","43.02","43.71","3,008,246"
09/04/2024,"42.78","43.88","42.61","43.26","3,111,890"
09/03/2024,"43.88","44.03","42.49","42.92","5,255,480"
08/30/2024,"43.72","44.49","43.59","43.99","5,261,596"
08/29/2024,"44.45","44.85","43.45","43.57","4,613,839"
08/28/2024,"44.16","44.51","43.73","44.13","4,182,658"
08/27/2024,"43.27","44.22","43.09","44.16","5,312,048"
08/26/2024,"44.05","44.48","43.71","43.94","4,192,801"
08/23/2024,"43.60","44.43","43.28","44.16","6,266,460"
08/22/2024,"43.45","44.03","43.14","43.36","8,955,063"
08/21/2024,"40.68","43.49","40.67","43.35","11,870,240"
08/20/2024,"40.50","40.74","39.72","40.54","11,753,150"
08/19/2024,"40.54","40.87","39.72","40.86","6,661,454"
08/16/2024,"40.30","41.17","40.24","40.59","6,136,551"
08/15/2024,"39.68","40.62","39.22","40.50","5,084,761"
08/14/2024,"38.86","39.19","38.65","39.09","3,691,551"
08/13/2024,"38.45","39.68","38.05","38.75","6,551,069"
08/12/2024,"37.14","37.90","36.91","37.32","5,298,449"
08/09/2024,"37.33","37.55","36.77","37.02","4,669,686"
08/08/2024,"36.49","37.32","36.32","37.17","6,219,718"
08/07/2024,"38.11","38.70","36.07","36.18","6,472,068"
08/06/2024,"36.96","38.11","36.18","37.67","9,997,878"
08/05/2024,"36.60","37.29","35.30","36.53","13,114,050"
08/02/2024,"38.15","39.26","37.31","39.04","7,398,291"
08/01/2024,"40.09","41.04","37.34","38.85","15,411,280"
07/31/2024,"41.49","42.04","41.04","41.52","7,762,792"
07/30/2024,"40.75","41.39","40.67","41.03","5,584,077"
07/29/2024,"40.95","41.00","40.20","40.57","6,316,402"
07/26/2024,"41.00","41.08","40.00","40.51","3,194,512"
07/25/2024,"40.01","41.14","39.55","40.54","3,589,795"
07/24/2024,"40.47","41.08","39.89","39.96","3,150,361"
07/23/2024,"40.30","41.17","40.23","41.08","4,680,139"
07/22/2024,"40.99","41.29","40.77","41.00","3,660,874"
07/19/2024,"39.70","40.76","39.52","40.52","4,053,912"
07/18/2024,"40.07","40.73","39.56","39.79","3,332,829"
07/17/2024,"40.48","41.03","39.53","40.00","5,135,329"
07/16/2024,"41.27","41.49","40.70","41.28","4,620,516"
07/15/2024,"40.70","41.62","40.25","41.11","6,457,385"
07/12/2024,"39.86","40.68","39.49","40.53","8,292,145"
07/11/2024,"39.63","39.89","38.43","38.52","4,325,061"
07/10/2024,"39.58","39.77","38.61","39.66","3,863,586"
07/09/2024,"39.91","39.99","39.01","39.39","5,112,994"
07/08/2024,"39.00","39.92","38.37","39.82","7,844,983"
07/05/2024,"37.66","38.70","37.46","38.68","4,445,726"
07/03/2024,"37.39","38.47","37.35","37.77","3,947,509"
07/02/2024,"36.75","37.76","36.47","37.14","4,096,644"
07/01/2024,"37.11","37.13","36.37","37.06","3,638,942"
06/28/2024,"37.13","37.50","36.97","37.21","7,546,038"
06/27/2024,"36.67","37.79","36.63","37.22","5,181,893"
06/26/2024,"35.37","37.33","35.27","36.91","8,337,749"
06/25/2024,"35.25","35.44","34.62","35.43","5,569,449"
06/24/2024,"35.99","36.34","34.90","35.19","5,627,206"
06/21/2024,"35.80","36.27","35.53","36.16","8,012,304"
06/20/2024,"35.87","36.04","35.35","35.86","4,392,470"
06/18/2024,"35.90","36.13","35.51","35.90","4,973,376"
06/17/2024,"34.86","36.24","34.41","35.90","6,852,478"
06/14/2024,"35.32","35.79","34.89","35.10","5,713,608"
06/13/2024,"37.05","37.30","35.38","35.52","6,325,360"
06/12/2024,"36.47","36.61","35.88","36.03","4,725,006"
06/11/2024,"34.92","35.70","34.76","35.49","3,826,096"
06/10/2024,"35.30","35.53","34.84","34.99","4,883,884"
06/07/2024,"35.27","36.07","35.18","35.63","5,833,400"
06/06/2024,"35.40","36.12","35.31","35.64","3,674,615"
06/05/2024,"35.91","35.91","34.90","35.60","5,451,701"
06/04/2024,"34.31","35.02","33.90","35.00","6,449,454"
06/03/2024,"34.00","34.51","33.88","34.48","6,239,849"
05/31/2024,"33.50","34.10","33.07","33.62","9,726,492"
05/30/2024,"32.92","33.34","32.70","33.15","4,067,247"
05/29/2024,"32.63","33.31","32.31","33.11","4,354,920"
05/28/2024,"32.69","33.36","32.30","32.96","6,491,483"
05/24/2024,"31.88","32.69","31.84","32.67","4,441,633"
05/23/2024,"33.09","33.20","31.59","31.97","7,602,321"
05/22/2024,"32.53","33.56","32.53","33.13","6,975,840"
05/21/2024,"33.10","33.25","32.20","32.55","9,168,892"
05/20/2024,"32.88","33.60","32.84","33.59","6,406,967"
05/17/2024,"32.83","32.97","32.06","32.90","6,429,894"
05/16/2024,"33.01","33.78","32.68","32.76","8,313,469"
05/15/2024,"32.01","33.13","31.55","33.01","8,683,792"
05/14/2024,"30.83","32.25","30.83","31.66","10,790,000"
05/13/2024,"31.41","32.07","30.95","30.96","12,431,940"
05/10/2024,"30.91","31.98","30.56","31.45","21,401,891"
05/09/2024,"29.92","31.50","29.55","30.42","69,953,000"
05/08/2024,"39.96","40.35","39.01","39.03","8,598,917"
05/07/2024,"39.72","41.04","39.72","40.54","6,400,716"
05/06/2024,"39.58","40.23","39.03","40.11","7,583,039"
05/03/2024,"38.73","39.47","38.50","39.24","8,482,835"
05/02/2024,"37.15","37.68","36.54","37.34","4,385,455"
05/01/2024,"35.66","37.59","35.46","36.58","5,858,333"
04/30/2024,"35.67","36.20","35.48","35.56","3,282,664"
04/29/2024,"36.27","37.08","36.00","36.56","5,765,583"
04/26/2024,"35.72","36.41","35.46","36.01","3,746,578"
04/25/2024,"33.93","35.63","33.71","35.53","7,276,245"
04/24/2024,"36.63","36.79","34.42","34.97","8,263,036"
04/23/2024,"36.42","37.52","35.74","36.30","8,683,557"
04/22/2024,"35.60","35.90","34.83","34.96","7,293,268"
04/19/2024,"35.31","35.82","34.82","35.34","6,088,063"
04/18/2024,"36.32","36.58","35.28","35.55","5,780,852"
04/17/2024,"36.64","37.13","36.35","36.37","4,300,875"
04/16/2024,"36.49","37.10","36.11","36.64","5,664,586"
04/15/2024,"38.28","38.82","36.54","36.66","7,051,448"
04/12/2024,"38.99","39.54","38.29","38.37","3,745,521"
04/11/2024,"39.82","40.08","39.23","39.26","5,198,701"
04/10/2024,"40.48","40.80","39.32","39.80","10,274,200"
04/09/2024,"38.74","39.15","38.36","39.09","4,344,455"
04/08/2024,"38.10","38.68","37.82","38.22","5,981,242"
04/05/2024,"36.53","37.90","36.52","37.82","5,741,546"
04/04/2024,"36.97","38.10","36.69","36.80","6,566,311"
04/03/2024,"36.52","36.66","35.79","36.44","5,556,167"
04/02/2024,"36.82","36.88","35.90","36.76","7,185,537"
04/01/2024,"37.99","38.25","37.30","37.84","6,388,149"
03/28/2024,"37.98","39.01","37.93","38.18","6,282,636"
03/27/2024,"37.58","37.90","37.13","37.88","3,901,995"
03/26/2024,"37.06","37.61","36.64","37.29","5,735,087"
03/25/2024,"37.12","37.17","35.97","36.66","8,841,041"
03/22/2024,"37.54","37.56","36.71","37.26","4,780,014"
03/21/2024,"38.00","38.38","37.59","37.69","6,407,977"
03/20/2024,"36.42","37.86","36.31","37.82","7,223,265"
03/19/2024,"36.17","36.80","35.85","36.46","7,812,113"
03/18/2024,"37.92","38.26","35.95","36.20","15,231,830"
03/15/2024,"40.19","40.67","39.11","39.24","9,840,128"
03/14/2024,"40.69","41.41","39.93","40.65","6,921,092"
03/13/2024,"40.47","41.65","40.33","40.39","7,153,288"
03/12/2024,"40.79","41.11","39.73","40.81","10,794,470"
03/11/2024,"39.64","42.66","39.61","42.04","8,676,107"
03/08/2024,"40.24","41.41","39.85","39.94","5,856,900"
03/07/2024,"40.85","41.63","39.98","40.12","6,868,145"
03/06/2024,"39.99","40.17","39.10","39.87","6,303,176"
03/05/2024,"38.89","39.52","38.37","38.87","5,755,896"
03/04/2024,"41.32","41.54","39.64","39.66","6,684,020"
03/01/2024,"39.92","41.46","39.85","41.32","6,045,358"
02/29/2024,"40.25","41.06","39.73","39.90","7,500,920"
02/28/2024,"40.28","40.41","39.53","40.16","6,252,341"
02/27/2024,"41.28","41.34","40.44","40.83","7,034,881"
02/26/2024,"41.47","41.94","40.98","41.29","7,754,025"
02/23/2024,"42.12","42.89","41.43","41.46","7,759,384"
02/22/2024,"41.52","43.06","40.76","42.41","7,802,779"
02/21/2024,"40.73","41.22","40.40","40.74","9,211,321"
02/20/2024,"42.42","42.97","40.80","41.41","6,963,163"
02/16/2024,"43.15","43.91","42.69","42.91","6,722,894"
02/15/2024,"44.13","45.09","44.13","44.44","5,885,054"
02/14/2024,"42.73","44.22","42.51","44.14","7,280,135"
02/13/2024,"41.93","42.98","41.53","42.32","10,050,090"
02/12/2024,"44.51","44.69","43.71","43.74","9,311,172"
02/09/2024,"44.51","44.61","43.30","44.40","12,702,920"
02/08/2024,"45.48","47.11","44.05","44.87","17,208,471"
02/07/2024,"44.61","46.60","42.93","44.74","43,434,031"
02/06/2024,"40.00","40.70","39.72","40.60","11,486,340"
02/05/2024,"40.53","40.71","38.57","39.35","6,903,289"
02/02/2024,"39.48","40.71","39.28","40.67","7,754,374"
02/01/2024,"39.12","39.75","38.75","39.33","4,981,732"
01/31/2024,"38.77","39.82","38.51","38.81","5,606,434"
01/30/2024,"40.54","40.65","39.07","39.14","7,670,160"
01/29/2024,"40.49","41.19","40.22","41.18","4,518,235"
01/26/2024,"41.46","41.81","40.28","40.41","4,355,085"
01/25/2024,"41.06","41.70","40.66","41.32","6,027,147"
01/24/2024,"41.31","41.87","40.69","40.82","5,404,788"
01/23/2024,"41.15","42.35","40.54","40.78","6,425,394"
01/22/2024,"39.15","41.20","39.15","40.48","8,604,219"
01/19/2024,"39.14","39.14","38.34","38.69","5,242,511"
01/18/2024,"38.89","38.98","38.29","38.89","7,249,344"
01/17/2024,"38.64","38.74","37.76","38.68","6,564,150"
01/16/2024,"40.41","40.76","39.08","39.35","8,327,719"
01/12/2024,"41.25","42.15","40.83","40.92","6,080,147"
01/11/2024,"41.72","42.74","41.51","42.44","7,131,608"
01/10/2024,"42.08","42.48","41.41","41.78","6,023,815"
01/09/2024,"42.04","42.81","41.84","42.28","4,857,965"
01/08/2024,"42.00","42.37","41.23","42.22","6,358,513"
01/05/2024,"42.13","42.66","41.60","41.74","6,819,044"
01/04/2024,"41.90","42.97","41.20","42.66","6,074,556"
01/03/2024,"42.22","42.61","41.51","41.91","6,127,334"
01/02/2024,"44.65","44.96","42.80","42.99","7,166,742"
12/29/2023,"46.43","47.03","45.69","45.72","7,608,426"
12/28/2023,"46.72","47.20","46.31","46.43","5,493,349"
12/27/2023,"46.43","46.92","46.15","46.85","6,059,183"
12/26/2023,"46.02","46.88","45.88","46.38","7,628,433"
12/22/2023,"43.47","46.12","43.47","45.97","9,996,634"
12/21/2023,"44.18","44.52","43.26","44.48","6,370,879"
12/20/2023,"44.72","45.18","43.69","43.83","7,232,231"
12/19/2023,"44.58","44.90","44.26","44.73","6,803,596"
12/18/2023,"43.84","45.08","43.38","44.49","7,254,013"
12/15/2023,"44.87","45.05","43.33","43.92","14,372,990"
12/14/2023,"43.80","44.62","43.61","44.52","13,370,610"
12/13/2023,"43.00","43.99","42.24","43.31","13,448,740"
12/12/2023,"40.59","42.18","40.31","42.04","7,636,211"
12/11/2023,"40.78","41.03","40.13","40.49","6,054,675"
12/08/2023,"41.95","42.28","40.02","40.83","16,019,460"
12/07/2023,"39.86","40.49","39.32","39.86","6,615,468"
12/06/2023,"40.79","41.46","39.78","39.96","8,027,208"
12/05/2023,"40.91","41.33","40.35","40.67","5,890,617"
12/04/2023,"40.09","41.60","39.81","41.23","7,824,741"
12/01/2023,"39.13","40.48","38.99","40.45","8,081,119"
11/30/2023,"38.68","39.55","38.68","39.31","8,180,808"
11/29/2023,"39.32","39.69","38.51","38.68","5,949,940"
11/28/2023,"38.50","39.26","38.37","39.02","5,090,895"
11/27/2023,"37.84","39.08","37.84","38.60","6,670,533"
11/24/2023,"37.48","38.32","37.48","38.14","4,303,317"
11/22/2023,"37.11","37.95","36.64","37.82","7,115,291"
11/21/2023,"37.39","37.43","36.34","36.72","13,547,920"
11/20/2023,"37.85","38.27","37.47","37.86","9,720,366"
